encoded_article,decoded_article,fame_score
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,Áedán_mac_Gabráin,2.0
%C3%85land,Åland,5.0
%C3%89douard_Manet,Édouard_Manet,6.0
%C3%89ire,Éire,5.0
%C3%93engus_I_of_the_Picts,Óengus_I_of_the_Picts,2.0
%E2%82%AC2_commemorative_coins,€2_commemorative_coins,3.0
10th_century,10th_century,4.0
11th_century,11th_century,4.0
12th_century,12th_century,4.0
13th_century,13th_century,4.0
14th_century,14th_century,8.0
15th_Marine_Expeditionary_Unit,15th_Marine_Expeditionary_Unit,5.0
15th_century,15th_century,8.0
16_Cygni,16_Cygni,6.0
16_Cygni_Bb,16_Cygni_Bb,4.0
16th_century,16th_century,8.0
1755_Lisbon_earthquake,1755_Lisbon_earthquake,7.0
17th_century,17th_century,8.0
1896_Summer_Olympics,1896_Summer_Olympics,7.0
18th_century,18th_century,8.0
1928_Okeechobee_Hurricane,1928_Okeechobee_Hurricane,6.0
1973_oil_crisis,1973_oil_crisis,7.0
1980_eruption_of_Mount_St._Helens,1980_eruption_of_Mount_St._Helens,6.0
1997_Pacific_hurricane_season,1997_Pacific_hurricane_season,5.0
19th_century,19th_century,4.0
1_Ceres,1_Ceres,5.0
1st_century,1st_century,5.0
1st_century_BC,1st_century_BC,5.0
2-6-0,2-6-0,4.0
2-8-0,2-8-0,4.0
2003_Atlantic_hurricane_season,2003_Atlantic_hurricane_season,5.0
2004_Atlantic_hurricane_season,2004_Atlantic_hurricane_season,5.0
2004_Indian_Ocean_earthquake,2004_Indian_Ocean_earthquake,6.0
2005_Atlantic_hurricane_season,2005_Atlantic_hurricane_season,5.0
2005_Hertfordshire_Oil_Storage_Terminal_fire,2005_Hertfordshire_Oil_Storage_Terminal_fire,2.0
2005_Kashmir_earthquake,2005_Kashmir_earthquake,6.0
2005_Lake_Tanganyika_earthquake,2005_Lake_Tanganyika_earthquake,2.0
2005_Sumatra_earthquake,2005_Sumatra_earthquake,6.0
20th_century,20th_century,8.0
21st_century,21st_century,8.0
2nd_century,2nd_century,0.0
3_Juno,3_Juno,1.0
3rd_century,3rd_century,0.0
4-2-0,4-2-0,1.0
4-4-0,4-4-0,1.0
4-6-0,4-6-0,1.0
47_Ursae_Majoris,47_Ursae_Majoris,2.0
47_Ursae_Majoris_b,47_Ursae_Majoris_b,2.0
47_Ursae_Majoris_c,47_Ursae_Majoris_c,2.0
4_Vesta,4_Vesta,3.0
4th_century,4th_century,2.0
55_Cancri,55_Cancri,4.0
55_Cancri_b,55_Cancri_b,4.0
55_Cancri_c,55_Cancri_c,4.0
